Student,LPIPS,SSIM
113590451.png,0.0,1.0
110590455.png,0.18478496372699738,0.7296298295765168
111590028.png,0.21806225180625916,0.7475757279801193
113590450.png,0.22689931094646454,0.6991122197623273
113590036.png,0.23720456659793854,0.7275906617761522
113590033.png,0.24118967354297638,0.6808755759434508
114054809.png,0.252873957157135,0.6895653686474777
113590031.png,0.2682948708534241,0.7102649387121743
111590047.png,0.2702305316925049,0.6955999695974568
113590051.png,0.2756056785583496,0.6776679542590452
113590052.png,0.28328245878219604,0.6682737565709848
113590022.png,0.2863784730434418,0.6744007791515788
113590039.png,0.2874644696712494,0.6619730041998569
113370239.png,0.2902090847492218,0.6820593415875729
113590060.png,0.3006291091442108,0.6738879782533737
113590001.png,0.3006366193294525,0.6271229832605377
113590015.png,0.30292263627052307,0.6346239819134476
113590061.png,0.3061937987804413,0.6704751517615904
113590056.png,0.3077397048473358,0.6582083018718318
113590040.png,0.3086162805557251,0.6869260308532191
112590452.png,0.31191688776016235,0.6320537888408316
112590040.png,0.3153093457221985,0.6386320317302958
113590026.png,0.3208312392234802,0.6977303404376176
113590021.png,0.3216448724269867,0.6267343258866019
113590062.png,0.3231049180030823,0.5862446533060598
113590044.png,0.32769322395324707,0.6599271498676091
113590003.png,0.33206915855407715,0.638921744012319
113590018.png,0.33804208040237427,0.5988444034585152
113AC1012.png,0.3438735902309418,0.6243446004183253
111590062.png,0.3460611402988434,0.658515584330036
113590032.png,0.35464686155319214,0.6773536571581847
112590455.png,0.35862284898757935,0.6431606576470015
113590045.png,0.3608578145503998,0.5876814128807207
113590011.png,0.3614555895328522,0.609916982139276
112590454.png,0.3619391620159149,0.6125767509707356
113590005.png,0.3687252998352051,0.7128985415332123
113590006.png,0.3728906214237213,0.5900694128536752
113590057.png,0.37702232599258423,0.6128497798481871
113590047.png,0.3839065730571747,0.7150069174224065
113590002.png,0.3884616494178772,0.5986063330135729
113590042.png,0.3900408446788788,0.6039495671520643
113590050.png,0.39265888929367065,0.5295470029645964
113AB0018.png,0.39276379346847534,0.5715868346733876
113590004.png,0.4010455012321472,0.7114539426019793
113590023.png,0.4090770483016968,0.5109857425649191
113590010.png,0.41276779770851135,0.5879001531675715
113590043.png,0.4153113067150116,0.7343207049022028
113590025.png,0.4165613651275635,0.7303954454493913
113590028.png,0.4291614890098572,0.5456099771316352
113590059.png,0.4296981692314148,0.5482683576388264
111590042.png,0.44223061203956604,0.7449201834301987
113590049.png,0.45964735746383667,0.46973734800883954
111590455.png,0.4938095808029175,0.5211736241750691
113590008.png,0.49751949310302734,0.4547025232861977
112590058.jpg,0.5048593282699585,0.40121745890605365
113590013.png,0.5198659896850586,0.37993843055992826
